CN_BLLING_PARTY_CODE,PARTY_NAME,CN_CN_NO,BKG_Date,BKG_Zone,BKG_State,BKG_Branch,CN_SOURCE_BRANCH_CODE,DLY_Zone,DLY_State,DLY_Branch_Name,DLY_Code,Consignor_Code,CNR_NAME,CEE_NAME,CONSIGNEE_CODE,EDD_Date,Reached At Destination,Out For Delivery Date,DLY_Date,MIN_POD_OR_DDR_DATE,No_of_Pkg,Actual_Wt,Charged_Wt,TPTR_Mode,DEL_POINT,FRIGHT_MODE,LOAD_TYPE,Freight Amount,ODA_FLAG,Appointment_Flag,Appointment_Date,MNTH,ONTIME_ARVL,DLVD_WITHOUT_TOKEN,CN_Current_Status,NDR_Remark,DELIVERY_STATUS,TAT_MISSING,BUSINESS_TYPE,TAT_DAYS,RETAIL_TAT_DAYS,OPS_TAT,KOM_NAME,KOM_ID,EDD_Diff_Day,CN_CURRENT_BRANCH,CN_CURRENT_BRANCH_NAME,NO_OF_ATTEMPTS,PICKUP_CHLN_DATE,DELEVERY_TYPE,BILL_DATE
111291,REDTAPE LTD,5.97525E+12,"24/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,N.EAST,ASSAM,DIBRUGARH-ASSAM,825,839324,REDTAPE LIMITED  UNNAO ,Redtape limited,250815,"1/11/2025, 12:00 AM","30/10/2025, 5:15 PM","5/11/2025, 4:50 PM","5/11/2025, 12:00 AM","19/11/2025, 12:00 AM",3,51,51,SURFACE,DOOR,TBB(T.P),PART-LOAD,2089.44,N,N,,Oct,Y,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,8,0,8,BRIJESH(19048),19048,58,825,DIBRUGARH-ASSAM,0,"24/10/2025, 11:02 PM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"24/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,N.EAST,ASSAM,GUWAHATI-ASSAM,802,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LIMITED,907668,"1/11/2025, 12:00 AM","28/10/2025, 10:17 AM","29/10/2025, 6:28 PM","29/10/2025, 12:00 AM","31/10/2025, 12:00 AM",4,68,68,SURFACE,DOOR,TBB(T.P),PART-LOAD,1575.26,N,N,,Oct,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,8,0,8,BRIJESH(19048),19048,58,802,GUWAHATI-ASSAM,0,"24/10/2025, 10:56 PM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"25/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,SOUTH-II,KERALA,COCHIN-KERLA,3003,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LTD,108376,"1/11/2025, 12:00 AM","1/11/2025, 9:19 AM","1/11/2025, 11:19 AM","1/11/2025, 12:00 AM","3/11/2025, 12:00 AM",6,102,102,SURFACE,DOOR,TBB(T.P),PART-LOAD,1924.93,N,N,,Oct,N,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,7,0,7,BRIJESH(19048),19048,58,3003,COCHIN-KERLA,0,"25/10/2025, 10:13 PM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"25/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,N.EAST,ASSAM,DIBRUGARH-ASSAM,825,839324,REDTAPE LIMITED  UNNAO ,Redtape limited,277576,"2/11/2025, 12:00 AM","14/11/2025, 8:27 PM","17/11/2025, 4:59 PM","17/11/2025, 12:00 AM","20/11/2025, 12:00 AM",2,34,34,SURFACE,DOOR,TBB(T.P),PART-LOAD,1725.47,N,N,,Oct,N,N,Delivered,Address Incomplete / Wrong,LATE DELIVERY,NOT MISSING,SCM,8,0,8,BRIJESH(19048),19048,57,825,DIBRUGARH-ASSAM,0,"25/10/2025, 10:13 PM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"26/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,EAST-I,JHARKHAND,RANCHI VENDOR,8419,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LIMITED KANKE ROAD RANCHI,108551,"1/11/2025, 12:00 AM","29/10/2025, 3:27 PM","30/10/2025, 2:25 PM","30/10/2025, 12:00 AM","4/11/2025, 12:00 AM",2,34,34,SURFACE,DOOR,TBB(T.P),PART-LOAD,706.52,N,N,,Oct,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,58,3402,RANCHI-JHARKHAND,0,"27/10/2025, 12:48 AM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"26/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,WEST-I,MADHYA PRADESH,INDORE-MADHYA PRADESH,3501,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LIMITED ,346606,"1/11/2025, 12:00 AM","30/10/2025, 6:27 AM","30/10/2025, 10:37 PM","30/10/2025, 12:00 AM","1/11/2025, 12:00 AM",3,51,51,SURFACE,DOOR,TBB(T.P),PART-LOAD,868.04,N,N,,Oct,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,58,3501,INDORE-MADHYA PRADESH,0,"27/10/2025, 12:41 AM",,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"26/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,WEST-I,MADHYA PRADESH,INDORE-MADHYA PRADESH,3501,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LIMITED ,569042,"1/11/2025, 12:00 AM","30/10/2025, 6:27 AM","31/10/2025, 2:37 PM","31/10/2025, 12:00 AM","1/11/2025, 12:00 AM",3,51,51,SURFACE,DOOR,TBB(T.P),PART-LOAD,886.83,N,N,,Oct,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,58,3501,INDORE-MADHYA PRADESH,0,"27/10/2025, 12:48 AM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"26/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,WEST-I,MADHYA PRADESH,REWA-MADHYA PRADESH,3507,839324,REDTAPE LIMITED  UNNAO ,redtape limited ,268401,"1/11/2025, 12:00 AM","2/11/2025, 6:27 AM","3/11/2025, 2:09 PM","3/11/2025, 12:00 AM","7/11/2025, 12:00 AM",3,51,51,SURFACE,DOOR,TBB(T.P),PART-LOAD,1635.22,N,N,,Oct,N,N,Delivered,LESS LOAD,LATE DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,58,3507,REWA-MADHYA PRADESH,0,"27/10/2025, 12:41 AM",,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"26/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,WEST-I,GUJARAT,ANAND-GUJARAT,312,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LIMITED,108834,"1/11/2025, 12:00 AM","31/10/2025, 12:34 PM","31/10/2025, 2:14 PM","31/10/2025, 12:00 AM","4/11/2025, 12:00 AM",4,68,68,SURFACE,DOOR,TBB(T.P),PART-LOAD,1055.81,N,N,,Oct,Y,N,Delivered,,ON TIME DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,58,312,ANAND-GUJARAT,0,"27/10/2025, 12:48 AM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"26/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,WEST-I,MAHARASHTRA,KOLHAPUR-MAHARASTRA,3101,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LTD,316019,"1/11/2025, 12:00 AM","1/11/2025, 12:08 PM","7/11/2025, 11:13 AM","7/11/2025, 12:00 AM","8/11/2025, 12:00 AM",10,170,170,SURFACE,DOOR,TBB(T.P),PART-LOAD,2333.91,N,N,,Oct,N,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,58,3101,KOLHAPUR-MAHARASTRA,0,"27/10/2025, 12:48 AM",REG,"30/10/2025, 12:00 AM"
111291,REDTAPE LTD,5.97525E+12,"26/10/2025, 12:00 AM",NORTH-II,UTTAR PRADESH,NEW UNNAO PDA,5975,WEST-I,MAHARASHTRA,BHOSARI TAPASWADI - MH,2804,839324,REDTAPE LIMITED  UNNAO ,REDTAPE LIMITED - PREMIER PLAZA 3,908437,"1/11/2025, 12:00 AM","31/10/2025, 9:37 AM","11/11/2025, 12:04 PM","11/11/2025, 12:00 AM","18/11/2025, 12:00 AM",4,68,68,SURFACE,DOOR,TBB(T.P),PART-LOAD,1055.81,N,N,,Oct,Y,N,Delivered,,LATE DELIVERY,NOT MISSING,SCM,6,0,6,BRIJESH(19048),19048,58,2856,MAHALUNGE TRANSSHIPMENT,0,"27/10/2025, 12:48 AM",REG,"30/10/2025, 12:00 AM"
